PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Pregrado en Contaduría Pública;8vo Semestre;23;Femenino;;Intermedio;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;En desacuerdo;Neutral;En desacuerdo;Neutral;Neutral;;Neutral;Neutral;Neutral;Importante;Muy importante;Muy importante;Neutral;Muy importante;Muy importante;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;En desacuerdo;588499728;14c873b5-0037-45fa-9f06-c799da21bfee;2025-10-22T17:01:45;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;253
;Escuela Superior Politécnica  de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica  y Farmacia;8vo Semestre;23;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Neutral;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;588499898;d5cc8d2f-2b13-4281-9226-3db6d8bc3622;2025-10-22T17:02:02;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;254
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Básico;Ninguno;Ninguno;Avanzado;Intermedio;Básico;Intermedio;Básico;Ninguno;;Neutral;Neutral;En desacuerdo;En desacuerdo;Neutral;;Importante;Importante;Importante;Neutral;Poca importancia;Importante;Neutral;Importante;Muy importante;;Totalmente en desacuerdo;En desacuerdo;Neutral;En desacuerdo;De acuerdo;De acuerdo;Neutral;588507183;206beb0b-dffc-4b39-ab5a-0126d3f46af4;2025-10-22T17:10:58;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;255
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Femenino;;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588508392;63814f98-ace5-425a-aca4-4b5e4a55916e;2025-10-22T17:12:25;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;256
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Marketing;8vo Semestre;20;Masculino;;Básico;Ninguno;Básico;Intermedio;Avanzado;Avanzado;Experto;Avanzado;Avanzado;;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Neutral;Importante;Importante;Neutral;Importante;;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;588513102;2cf6c862-7e0d-4556-9172-2e3b3d90db01;2025-10-22T17:18:45;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;257
;Institución Universitaria de Envigado;Colombia;Otro;Contaduría Pública;9no Semestre;43;Femenino;;Básico;Básico;Básico;Básico;Intermedio;Intermedio;Básico;Básico;Intermedio;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Poca importancia;Importante;Muy importante;;En desacuerdo;En desacuerdo;De acuerdo;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;588519334;0e1cd097-de98-448b-92d5-b31c55486f99;2025-10-22T17:27:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;258
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;588522063;2b9ca830-c231-47f0-8cca-15d15ef240f8;2025-10-22T17:30:40;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;259
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;26;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Totalmente en desacuerdo;588525223;271711b1-87e8-4f72-9b5d-39a71758d302;2025-10-22T17:35:15;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;260
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;20;Masculino;;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588526982;7b1c6c05-399e-4b03-9dd6-b12fb2c4ff7e;2025-10-22T17:37:59;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;261
;Espoch;Ecuador;Ingeniería y Tecnología;Tecnologías de la información;8vo Semestre;19;Masculino;;Básico;Ninguno;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588532052;37a18d35-57c0-4b0f-98fd-bc6b302663f6;2025-10-22T17:44:16;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;262
;ESPOCH;Ecuador;Ingeniería y Tecnología;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;8vo Semestre;19;Masculino;;Intermedio;Ninguno;Básico;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588532613;9262ee2c-61c3-4bdb-949c-841569917394;2025-10-22T17:45:04;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;263
;ESPOCH;Ecuador;Ingeniería y Tecnología;Tecnologías de la información;8vo Semestre;17;Femenino;;Básico;Ninguno;Básico;Intermedio;Ninguno;Básico;Básico;Básico;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588533191;c3b07d1c-e21e-4097-adb0-205afaa18480;2025-10-22T17:45:52;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;264
;ESPOCH;Ecuador;Ingeniería y Tecnología;Tecnologías de la información;8vo Semestre;18;Femenino;;Intermedio;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588533298;691c3ae0-6fdf-4393-88dd-6b047f2662e0;2025-10-22T17:46:02;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;265
;ESPOCH;Ecuador;Ingeniería y Tecnología;Tecnologías de la información y comunicación;8vo Semestre;18;Femenino;;Ninguno;Ninguno;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Ninguno;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588533373;c198ab9c-2b84-4590-b01d-2440f71c269f;2025-10-22T17:46:11;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;266
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;CARRERA FINANZAS;8vo Semestre;23;Femenino;;Experto;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588534023;8f9801f5-823e-4d37-a08a-0cab6e397203;2025-10-22T17:47:14;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;267
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría Publica;9no Semestre;24;Femenino;;Ninguno;Básico;Ninguno;Básico;Ninguno;Básico;Básico;Básico;Ninguno;;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Neutral;Muy importante;Muy importante;Muy importante;Neutral;Neutral;Poca importancia;;En desacuerdo;En desacuerdo;Neutral;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;588537443;2c9b6dd5-69bb-4c62-bba8-68c91470db94;2025-10-22T17:51:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;268
;ESPOCH;Ecuador;Ingeniería y Tecnología;Ingenieria de Software;8vo Semestre;30;Masculino;;Avanzado;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;588538126;f8c09071-9361-4fc4-9dbe-8c80b96c3008;2025-10-22T17:52:29;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;269
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Exactas y Naturales;Bioquímica y Farmacia;8vo Semestre;24;Femenino;;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;;En desacuerdo;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588543317;3540ce77-d7d1-4267-a28d-323c60b32de6;2025-10-22T18:00:56;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;270
;Universidad de Ciencias y Artes de Chiapas;México;Ingeniería y Tecnología;Licenciatura en marketing Digital;8vo Semestre;51;Masculino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;588580811;5a488f9a-6bbd-47a3-9c94-8180f244fe89;2025-10-22T19:08:49;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;271
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Contaduría publica;9no Semestre;21;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588585516;d13939aa-b7e7-4203-9209-76f0f8348dc5;2025-10-22T19:16:58;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;272
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Contabilidad y Auditoria;8vo Semestre;20;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Básico;Avanzado;Intermedio;Intermedio;;Neutral;De acuerdo;Neutral;En desacuerdo;Neutral;;Neutral;Neutral;Importante;Neutral;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588597279;90483821-3f85-4609-abc1-9c0010230d42;2025-10-22T19:35:56;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;273
;Universidad de envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría;8vo Semestre;23;Masculino;;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588598001;a0fc02ee-56f4-445c-b852-55de7f3e894f;2025-10-22T19:37:24;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;274
;Institución universitaria de envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría pública;9no Semestre;24;Femenino;;Intermedio;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Básico;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Muy importante;Muy importante;Muy importante;Neutral;Importante;Importante;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;588609443;a6b479a5-522c-4225-b7af-818102ee7b5c;2025-10-22T19:59:40;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;275
;Escuela Superior politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Carrera de contabilidad y auditoría;8vo Semestre;25;Femenino;;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588610396;f5eb0837-a828-4f17-a3e7-9ca49a8da9c2;2025-10-22T20:01:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;276
;espoch;Ecuador;Ingeniería y Tecnología;telematica;8vo Semestre;23;Masculino;;Avanzado;Avanzado;Intermedio;Avanzado;Experto;Avanzado;Experto;Experto;Experto;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588613750;d273e372-7106-43da-a974-6261f7210a92;2025-10-22T20:07:15;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;277
;IUE;Colombia;Ciencias Económicas y Administrativas;Contaduría publica;8vo Semestre;34;Masculino;;Intermedio;Intermedio;Intermedio;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588632748;10ca9711-ae4e-450b-9fab-c87bc9a97f2e;2025-10-22T20:53:05;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;278
;Institución Universitaria De Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría Pública;9no Semestre;29;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Avanzado;Experto;Intermedio;Avanzado;;Neutral;En desacuerdo;Neutral;En desacuerdo;De acuerdo;;Importante;Importante;Neutral;Neutral;Importante;Importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Neutral;Neutral;Neutral;Neutral;De acuerdo;En desacuerdo;588655516;227cad23-be47-482b-8e91-1c45e9923b75;2025-10-22T21:58:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;279
;Universidad de ciencias y artes de Chiapas;México;Ciencias Económicas y Administrativas;Gestión y desarrollo de negocios;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Intermedio;Básico;Básico;Básico;Intermedio;Intermedio;Básico;;En desacuerdo;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Importante;Importante;Importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588659928;83539434-cf15-4c8a-8909-bca0c0095ec8;2025-10-22T22:15:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;280
;UNICACH;México;Otro;Licenciatura En Gestión Y Desarrollo De Negocios;8vo Semestre;20;Femenino;;Ninguno;Ninguno;Ninguno;Básico;Ninguno;Ninguno;Básico;Básico;Ninguno;;De acuerdo;Neutral;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Importante;Importante;Neutral;Importante;Importante;Importante;Neutral;Importante;;Neutral;Neutral;Neutral;De acuerdo;Neutral;Neutral;Neutral;588667473;214667ba-0044-4505-aac2-6912f723148d;2025-10-22T22:50:50;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;281
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Contabilidad y Auditoría;8vo Semestre;21;Femenino;;Avanzado;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Neutral;Neutral;Importante;Importante;Importante;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;588688079;27701545-7755-4307-8f75-ab0c616bcb23;2025-10-23T00:13:00;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;282
;UNICACH;México;Otro;LICENCIATURA EN GESTIÓN Y DESARROLLO DE NEGOCIOS;8vo Semestre;23;Masculino;;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Ninguno;Ninguno;;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;;Sin importancia;Sin importancia;Poca importancia;Sin importancia;Sin importancia;Poca importancia;Sin importancia;Sin importancia;Poca importancia;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;588689842;2934972b-dcae-4190-9f01-a36f7b1ea7e3;2025-10-23T00:22:15;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;283
;ESPOCH;Ecuador;Ingeniería y Tecnología;Tecnologías de la información;8vo Semestre;20;Masculino;;Básico;Básico;Intermedio;Intermedio;Básico;Intermedio;Básico;Intermedio;Básico;;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;En desacuerdo;;Neutral;Poca importancia;Neutral;Poca importancia;Neutral;Importante;Neutral;Poca importancia;Importante;;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Neutral;En desacuerdo;Neutral;588690454;8cc22bc8-2d3d-4e43-93be-f796fdaeb9e3;2025-10-23T00:24:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;284
;UNICACH SEDE VILLACORZO;México;Ciencias Económicas y Administrativas;Licenciatura en Gestión y Desarrollo de Negocios;8vo Semestre;22;Masculino;;Avanzado;Intermedio;Básico;Intermedio;Experto;Avanzado;Experto;Experto;Experto;;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;;Importante;Neutral;Importante;Neutral;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;588693160;41cb2716-089e-433c-a803-3ec1f78fa289;2025-10-23T00:33:17;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;285
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;22;Masculino;;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588699383;a2456aaf-2295-4538-a0ed-c193254de9f9;2025-10-23T00:58:13;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;286
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;27;Femenino;;Avanzado;Intermedio;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Avanzado;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Importante;Muy importante;Importante;Importante;Neutral;Muy importante;Importante;Importante;Neutral;;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588712523;dca04104-6ad1-4d93-b53d-74c7d2a6e6c8;2025-10-23T01:47:40;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;287
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;Importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;588728960;fd5bc9db-ce6b-44cd-8651-4e4e6ce380a9;2025-10-23T02:40:43;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;288
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Marketing;8vo Semestre;21;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588741493;bbde9009-1dbf-4bfe-a2ab-f63a1deca1eb;2025-10-23T03:18:03;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;289
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Marketing;8vo Semestre;24;Femenino;;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Importante;;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;588779741;328acb7f-753f-4a4d-bf8d-61f1ca418ba2;2025-10-23T04:53:47;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;290
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Contabilidad y Auditoría;8vo Semestre;21;Masculino;;Básico;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Básico;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Muy importante;Importante;Importante;Importante;Poca importancia;Poca importancia;Poca importancia;;En desacuerdo;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588802521;e6f85f6e-9b70-49f2-b86c-6e8faf81d8db;2025-10-23T05:41:11;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;291
